                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.5688,                0.51873,                0.92253,                0.86571,                0.78656,                0.85448,                0.67004,                0.61004,                0.50096,                0.90598,             0.00029706,             0.00029706,             0.00029706
                     37,                0.56159,                0.51046,                0.91952,                0.85129,                0.82155,                0.88723,                 0.6938,                0.61795,                0.48298,                0.91215,             0.00027906,             0.00027906,             0.00027906
                     38,                0.56237,                0.50135,                0.91421,                0.78171,                0.81817,                0.85142,                0.66323,                0.63499,                0.53195,                0.94293,             0.00026106,             0.00026106,             0.00026106
                     39,                0.56382,                0.48973,                0.91674,                0.89005,                0.86129,                0.91295,                0.71488,                0.60925,                0.45875,                0.89615,             0.00024307,             0.00024307,             0.00024307
                     40,                0.55946,                 0.4938,                0.91329,                0.82704,                0.76709,                0.85148,                0.66088,                0.62229,                0.52248,                0.91382,             0.00022507,             0.00022507,             0.00022507
                     41,                0.59063,                 0.4645,                0.90072,                 0.8895,                0.81526,                0.88268,                0.69151,                0.61581,                0.48509,                0.90179,             0.00020707,             0.00020707,             0.00020707
                     42,                0.59314,                0.46383,                0.89968,                0.91194,                0.84018,                0.90388,                0.71622,                0.60812,                0.46507,                0.90266,             0.00018907,             0.00018907,             0.00018907
                     43,                0.58471,                0.45191,                0.89564,                0.87079,                0.88205,                0.90459,                0.71812,                0.59945,                0.45284,                0.89574,             0.00017107,             0.00017107,             0.00017107
                     44,                0.58677,                0.44698,                0.89853,                0.89133,                0.85693,                 0.8961,                0.70893,                0.59044,                0.45651,                0.89566,             0.00015308,             0.00015308,             0.00015308
                     45,                0.57742,                0.43007,                0.89659,                0.87211,                0.87886,                0.90291,                0.71893,                0.59836,                0.45741,                0.91585,             0.00013508,             0.00013508,             0.00013508
                     46,                0.56906,                0.41633,                 0.8902,                0.85404,                0.83411,                0.88878,                0.70305,                0.60578,                 0.4822,                0.91559,             0.00011708,             0.00011708,             0.00011708
                     47,                0.56911,                 0.4173,                0.88976,                0.89874,                0.84596,                0.91127,                0.72312,                0.58524,                0.46313,                0.89465,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     48,                0.56519,                0.41173,                0.88925,                0.86691,                0.86991,                0.91086,                 0.7216,                0.59512,                0.45907,                0.91062,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     49,                0.56615,                0.41303,                0.88845,                0.86794,                0.86515,                0.90067,                0.71785,                0.59391,                0.46572,                0.90893,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     50,                0.55577,                0.40205,                0.88136,                0.87431,                0.88296,                0.90806,                0.72763,                0.59622,                0.45779,                0.91202,             4.5086e-05,             4.5086e-05,             4.5086e-05
