                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2151,                0.64779,                 1.1529,                0.94896,                0.97619,                0.98263,                0.66912,                 1.2536,                0.50784,                 1.1659,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1842,                0.63796,                 1.1614,                0.97076,                      1,                0.99409,                0.67606,                    1.2,                0.51071,                 1.1589,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.1388,                0.59529,                 1.1409,                0.96789,                      1,                0.99295,                 0.6814,                 1.1366,                0.47503,                 1.1435,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.1755,                0.61615,                 1.1424,                0.96881,                      1,                0.99409,                0.67687,                 1.1197,                 0.4951,                 1.1338,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.1872,                0.63756,                 1.1654,                0.96779,                0.99973,                0.99295,                0.69525,                 1.1051,                0.47383,                 1.1128,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.1141,                0.56789,                  1.124,                0.99261,                0.99794,                  0.995,                0.68555,                 1.1364,                0.48796,                 1.1261,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.0989,                0.55298,                 1.1078,                0.99653,                0.99229,                  0.995,                0.65138,                 1.1957,                0.50236,                 1.1765,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.1728,                0.56957,                 1.1542,                0.97069,                      1,                0.99068,                0.65999,                 1.1664,                0.48904,                 1.1343,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.1596,                 0.5933,                 1.1075,                0.97176,                0.99919,                0.98864,                0.65973,                 1.1642,                0.50522,                 1.1348,             0.00031373,             0.00031373,             0.00031373
                     44,                  1.176,                0.59249,                 1.1928,                0.96661,                0.99684,                0.99295,                0.69053,                 1.1522,                  0.487,                 1.1233,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.1249,                0.54024,                 1.1169,                0.97624,                0.98603,                  0.995,                0.71684,                 1.1278,                0.48531,                  1.097,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.0977,                0.52531,                 1.1068,                0.99337,                0.99174,                  0.995,                0.68763,                 1.1598,                0.47269,                 1.1316,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.0962,                 0.5229,                 1.1177,                0.99646,                      1,                  0.995,                0.68714,                 1.1476,                0.45722,                 1.1321,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.0697,                0.52475,                 1.0926,                0.99847,                 0.9968,                  0.995,                 0.7041,                 1.1275,                0.46103,                 1.1153,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.1063,                0.52247,                 1.1119,                0.97164,                      1,                0.99409,                0.69897,                  1.122,                0.45521,                 1.1103,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.0786,                0.50513,                 1.1036,                0.97226,                      1,                0.99409,                0.68694,                  1.124,                0.44813,                  1.112,             8.2683e-05,             8.2683e-05,             8.2683e-05
