                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0886,                0.60868,                 1.0026,                0.66204,                0.94444,                0.82301,                 0.5853,                 1.1088,                 0.5485,                 1.0659,              0.0003466,              0.0003466,              0.0003466
                     36,                 1.0979,                0.63364,                 1.0051,                0.79667,                0.75616,                0.84817,                0.60641,                 1.0692,                0.55079,                 1.0454,              0.0003268,              0.0003268,              0.0003268
                     37,                  1.112,                0.63539,                 1.0162,                 0.6949,                0.92836,                0.85429,                 0.6055,                  1.122,                0.52645,                 1.0717,               0.000307,               0.000307,               0.000307
                     38,                 1.0369,                0.56764,                0.99592,                 0.7439,                0.88554,                 0.8498,                 0.5919,                 1.1042,                0.51795,                  1.066,              0.0002872,              0.0002872,              0.0002872
                     39,                  1.068,                0.56959,                0.99178,                0.73611,                 0.9424,                0.86363,                0.60597,                 1.0937,                 0.5071,                 1.0608,              0.0002674,              0.0002674,              0.0002674
                     40,                 1.0263,                0.56837,                0.98171,                0.70976,                0.92717,                0.88221,                0.63206,                 1.0535,                0.48726,                 1.0425,              0.0002476,              0.0002476,              0.0002476
                     41,                 1.0851,                0.63039,                0.98897,                0.77567,                0.96098,                0.89191,                0.62914,                 1.0876,                0.48427,                 1.0571,              0.0002278,              0.0002278,              0.0002278
                     42,                 1.0888,                0.64032,                 0.9811,                0.75413,                0.91374,                0.88962,                0.61843,                 1.0811,                0.49664,                 1.0606,               0.000208,               0.000208,               0.000208
                     43,                 1.0258,                0.61768,                0.95901,                0.77765,                0.93693,                 0.8919,                 0.6444,                 1.1194,                0.48432,                 1.0723,              0.0001882,              0.0001882,              0.0001882
                     44,                 1.0491,                0.57801,                0.97261,                0.77892,                0.91974,                0.91186,                0.64909,                 1.1037,                0.47391,                 1.0668,              0.0001684,              0.0001684,              0.0001684
                     45,                 1.0344,                0.56451,                0.96622,                0.68357,                0.98975,                0.87963,                0.61389,                 1.1161,                0.48062,                 1.0732,              0.0001486,              0.0001486,              0.0001486
                     46,                 1.0383,                0.54659,                0.96311,                0.80411,                0.91238,                0.93571,                0.65348,                 1.0955,                0.46335,                 1.0667,              0.0001288,              0.0001288,              0.0001288
                     47,                 1.0437,                0.57028,                0.97645,                0.87942,                0.87176,                 0.9345,                 0.6634,                 1.0953,                0.46485,                 1.0731,               0.000109,               0.000109,               0.000109
                     48,                 1.0415,                0.52151,                0.96254,                0.90603,                0.87312,                0.94251,                0.66751,                 1.1126,                0.46346,                 1.0683,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                 1.0188,                0.53314,                0.96019,                0.81664,                0.92353,                0.93676,                 0.6703,                 1.1109,                0.45042,                 1.0676,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.98831,                0.50952,                0.93491,                0.79477,                0.92485,                0.92881,                0.65961,                 1.0943,                0.45353,                 1.0613,               4.96e-05,               4.96e-05,               4.96e-05
