                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.29856,                0.72648,                0.91072,                0.57373,                0.75805,                0.73733,                  0.708,                0.29449,                0.67722,                0.94766,             0.00019216,             0.00019216,             0.00019216
                     37,                0.30583,                0.70901,                 0.9086,                0.42545,                0.83247,                0.66698,                0.63784,                0.29422,                0.73726,                0.93911,             0.00018052,             0.00018052,             0.00018052
                     38,                0.30807,                 0.7302,                 0.9062,                 0.4914,                0.76886,                0.68875,                0.64848,                0.32249,                0.74604,                0.97894,             0.00016887,             0.00016887,             0.00016887
                     39,                0.29621,                0.73648,                0.90903,                0.46443,                0.76927,                0.74291,                0.69143,                 0.3199,                0.78419,                0.98562,             0.00015723,             0.00015723,             0.00015723
                     40,                 0.2968,                0.70811,                0.90041,                0.58811,                0.76597,                0.75283,                0.71926,                0.32109,                0.86045,                 0.9694,             0.00014559,             0.00014559,             0.00014559
                     41,                0.26054,                0.59467,                0.90618,                0.60393,                0.71663,                0.65826,                0.62876,                0.29718,                0.82721,                0.94014,             0.00013395,             0.00013395,             0.00013395
                     42,                0.25092,                0.53345,                0.89124,                0.50094,                0.82992,                0.69143,                0.65646,                0.28988,                0.68868,                0.94238,              0.0001223,              0.0001223,              0.0001223
                     43,                0.24017,                0.47661,                0.89942,                0.63355,                0.72836,                0.74215,                0.70557,                0.29158,                0.62738,                0.93275,             0.00011066,             0.00011066,             0.00011066
                     44,                0.24425,                0.45968,                0.89078,                0.63633,                0.73626,                0.74607,                0.71726,                0.28152,                0.68972,                0.93318,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     45,                0.23175,                0.44212,                 0.8888,                0.66824,                0.77281,                0.75611,                 0.7307,                0.27692,                0.65952,                0.92234,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     46,                0.23228,                0.44707,                0.88454,                0.68575,                0.79597,                 0.7243,                0.69384,                0.28319,                0.68852,                0.91737,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     47,                0.22911,                 0.4179,                0.87488,                0.63832,                0.72037,                0.71446,                0.68939,                0.27117,                0.66882,                0.91796,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     48,                0.22085,                0.41072,                0.87616,                0.67571,                0.78295,                0.80013,                0.77193,                0.26728,                0.62662,                0.91462,              5.245e-05,              5.245e-05,              5.245e-05
                     49,                0.22185,                0.39214,                0.87938,                0.69991,                0.70805,                 0.7638,                0.73717,                0.26313,                0.66677,                0.91604,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     50,                0.21427,                0.35932,                 0.8714,                0.70094,                0.74479,                0.75805,                 0.7354,                 0.2574,                 0.6638,                0.91322,             2.9165e-05,             2.9165e-05,             2.9165e-05
